"YEAR","BALLOT","USETECH","HAPPY","PARTYID","RINCOME","RACE","SEX","DEGREE","EDUC","AGE","MARITAL","HRS2","HRS1","WRKSTAT","ID_","UNHAPPY"
2018,3,60,2,0,12,1,1,1,15,69,1,-1,40,1,134,2
2018,2,95,2,0,12,1,1,1,13,60,1,-1,55,1,135,3
2018,2,0,2,3,0,3,2,1,12,22,5,-1,40,1,136,0
2018,1,-1,2,3,8,3,1,1,16,33,5,-1,-1,6,137,0
2018,3,50,3,3,12,3,2,3,16,35,1,-1,55,1,138,3
2018,2,30,1,2,8,1,2,0,12,38,1,-1,40,1,139,1
2018,1,10,2,4,9,1,2,1,15,25,5,-1,6,1,140,0
2018,3,50,3,6,12,1,1,2,14,55,3,-1,40,1,141,3
2018,2,10,2,1,8,1,1,1,17,34,1,-1,22,2,142,2
2018,1,-1,3,3,0,3,1,0,11,49,3,-1,-1,7,143,0
2018,2,-1,2,3,0,2,1,1,12,18,5,-1,-1,6,144,0
2018,2,100,2,0,12,3,1,1,12,56,3,-1,65,1,145,2
2018,1,0,2,4,0,2,1,1,12,19,5,-1,45,1,146,0
2018,2,-1,3,1,12,2,1,1,12,34,5,-1,-1,4,147,0
2018,2,30,2,3,9,2,2,3,17,26,5,-1,40,1,148,3
2018,1,-1,2,3,0,1,1,1,14,28,5,-1,-1,6,149,0
2018,2,90,1,0,12,1,2,4,19,59,4,-1,40,1,150,1
2018,3,90,2,2,12,2,2,4,16,39,5,-1,40,1,151,2
2018,3,-1,2,0,0,2,2,1,13,77,4,-1,-1,5,152,2
2018,2,-1,3,3,0,2,2,1,12,35,5,-1,-1,4,153,4
2018,3,80,2,3,10,3,2,3,16,46,4,-1,40,1,154,2
2018,2,0,1,5,12,3,1,0,8,57,5,-1,32,1,155,3
2018,3,0,2,1,2,3,2,0,11,35,1,-1,40,1,156,2
2018,1,100,3,5,12,1,2,1,12,58,4,-1,52,1,157,0
2018,1,20,2,7,6,3,2,1,14,20,5,-1,30,2,158,0
2018,2,90,1,2,7,3,2,0,7,48,1,-1,40,1,159,3
2018,1,0,2,3,9,1,2,0,2,51,4,-1,50,1,160,0
2018,3,-1,3,0,0,3,2,0,11,18,5,-1,-1,6,161,1
2018,2,-1,2,1,0,1,2,1,12,18,5,-1,-1,6,162,0
2018,1,90,2,1,12,3,2,1,12,41,1,-1,45,1,163,0
2018,3,-1,3,1,0,3,2,1,15,51,1,-1,-1,7,164,1
2018,1,-1,2,3,0,1,2,0,6,41,1,-1,-1,7,165,0
2018,2,-1,2,2,0,1,2,1,13,71,5,-1,-1,5,166,0
2018,3,0,1,1,0,1,1,0,9,43,5,-1,45,1,167,2
2018,1,999,2,3,98,3,1,3,16,53,5,-1,6,2,168,0
2018,3,20,3,1,12,1,1,2,18,46,5,-1,53,1,169,3
2018,1,40,2,0,12,1,1,1,13,36,1,-1,42,1,170,0
2018,3,50,2,4,7,1,1,1,12,19,5,-1,45,1,171,3
2018,2,0,1,2,12,3,1,1,14,65,1,-1,30,2,172,1
2018,3,90,3,6,12,1,2,1,13,60,3,-1,40,1,173,2
2018,2,-1,2,0,0,1,2,3,16,63,5,-1,-1,5,174,0
2018,3,90,1,0,13,1,1,4,20,36,1,-1,60,1,175,2
